,"A1","A1 mini","A2L","H2C","H2D","H2D Pro","H2S","P1P","P1S","P2S","X1C","X1E","X2D"
"Serial Prefix","039","030","26A","31B","094","239","093","01S","01P","22E","00M","03W","20P"
"Type","Bed-Slinger","Bed-Slinger","Bed-Slinger","CoreXY / Vortek Tool-Changer","CoreXY","CoreXY","CoreXY","CoreXY","CoreXY","CoreXY","CoreXY","CoreXY","CoreXY"
"Chamber","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Build Volume","256*256*256 mm³","180*180*180 mm³","330*320*325 mm³","Single Nozzle: 305*320*325 mm³
Dual Nozzle: 300*320*325 mm³
Total for Two: 330*320*325 mm³","Single Nozzle: 325*320*325 mm³
Dual Nozzle: 300*320*325 mm³
Total for Two: 350*320*325 mm³","Single Nozzle: 325*320*325 mm³
Dual Nozzle: 300*320*325 mm³
Total for Two: 350*320*325 mm³","340*320*340 mm³","256*256*256 mm³","256*256*256 mm³","256*256*256 mm³","256*256*256 mm³","256*256*256 mm³","Main Nozzle: 256*256*260 mm³
Auxiliary Nozzle: 235.5*256*256 mm³
Dual Nozzle: 235.5*256*256 mm³
Total for Two: 256*256*260 mm³"
"# Nozzles","1","1","1","2 Slots, up to 7 active nozzles","2","2","1","1","1","1","1","1","2"
"Included Extruder Gears","Hardened Steel","Steel","Hardened Steel","Hardened Steel","Hardened Steel","Hardened Steel","Hardened Steel","Steel","Steel","Hardened Steel","Hardened Steel","Hardened Steel","Hardened Steel"
"Included Toolhead Nozzle","Stainless Steel 0.4mm","Stainless Steel 0.4mm","Stainless Steel 0.4mm","Hardened Steel 0.4mm","Hardened Steel 0.4mm","Tungsten Carbide 0.4mm","Hardened Steel 0.4mm","Stainless Steel 0.4mm","Stainless Steel 0.4mm","Hardened Steel 0.4mm","Hardened Steel 0.4mm","Hardened Steel 0.4mm","Hardened Steel 0.4mm"
"Max Hot End Temperature","300°C","300°C","300°C","350°C","350°C","350°C","350°C","300°C","300°C","300°C","300°C","320°C","300°C"
"Max Build Plate Temperature","100°C","80°C","80°C","120°C","120°C","120°C","120°C","100°C","100°C","110°C","110°C (110°C @220V, 120°C @110V per spec sheet — voltage-dependent, see reference/04_toolhead_thermal_motion.md)","110°C","120°C"
"Chamber Heater","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes"
